|        Time |     Flux |
|      8.2597 | 0.992052 |
|     8.26831 | 0.993146 |
|     8.27692 | 0.989283 |
|     8.28552 | 0.986893 |
|     8.29413 | 0.992657 |
|      8.3114 | 0.984474 |
|     8.32001 |  0.98759 |
|     8.32861 |  0.99119 |
|     8.33746 | 0.993318 |
|     8.36328 | 0.991137 |
|     8.38916 | 0.986602 |
|     8.39777 | 0.981395 |
|     8.40668 | 0.993024 |
|     8.41504 |  0.99723 |
|     8.42389 | 0.995925 |
|      8.4325 |  1.00089 |
|     8.44086 |  0.99043 |
|     8.44971 | 0.999754 |
|     8.45831 | 0.990079 |
|     8.46698 | 0.996612 |
|     8.47559 | 0.996141 |
|     8.48419 |  1.00101 |
|      8.5014 |  1.00375 |
|     8.51001 | 0.997375 |
|     8.51886 | 0.995162 |
|     8.52747 | 0.987433 |
|     8.53613 | 0.997839 |
|     8.54474 | 0.993663 |
|     8.55334 |  0.98587 |
|     8.56195 | 0.993348 |
|     8.57056 | 0.991762 |
|     8.57916 | 0.987744 |
|     8.58777 |  1.01415 |
|     8.59637 | 0.984282 |
|     8.60522 |  0.98962 |
|     8.61359 | 0.994792 |
|      8.6225 | 0.990951 |
|      8.6311 | 0.998142 |
|     8.63971 | 0.999958 |
|     8.66559 |   1.0011 |
|     8.67419 | 0.990678 |
|      8.6828 | 0.993373 |
|     8.69141 |  1.00295 |
|     8.70032 |  1.00439 |
|     8.70892 |  0.98981 |
|     8.71753 | 0.988307 |
|     8.72614 |  1.00225 |
|     8.73474 | 0.994786 |
|     8.74335 |  0.99284 |
|      8.7522 | 0.981904 |
|     8.76056 | 0.997486 |
|     8.76917 | 0.996547 |
|     8.77808 |  1.00985 |
|     8.78638 | 0.997476 |
